low,high,open,close,volume,year,month,day,weekday,days
14000.0,35000.0,35000.0,19000.0,160600,2008,9,4,4,14126
17400.0,17400.0,17400.0,17400.0,85600,2008,9,5,5,14127
18600.0,18600.0,18600.0,18600.0,59500,2008,9,8,1,14130
19800.0,19900.0,19900.0,19900.0,137800,2008,9,9,2,14131
18600.0,21200.0,21200.0,18700.0,129800,2008,9,10,3,14132
19100.0,19100.0,19100.0,19100.0,4600,2008,9,11,4,14133
17800.0,17800.0,17800.0,17800.0,400,2008,9,12,5,14134
16600.0,16600.0,16600.0,16600.0,37800,2008,9,15,1,14137
15500.0,15500.0,15500.0,15500.0,1200,2008,9,16,2,14138
14500.0,14500.0,14500.0,14500.0,2000,2008,9,17,3,14139
13500.0,13500.0,13500.0,13500.0,500,2008,9,18,4,14140
12600.0,14400.0,12600.0,14400.0,60400,2008,9,19,5,14141
14600.0,14600.0,14600.0,14600.0,14300,2008,9,22,1,14144
13600.0,15000.0,15000.0,13700.0,27900,2008,9,23,2,14145
12900.0,13000.0,12900.0,12900.0,18400,2008,9,24,3,14146
12000.0,13000.0,13000.0,13000.0,25600,2008,9,25,4,14147
12700.0,13400.0,13400.0,13300.0,10700,2008,9,26,5,14148
12300.0,13600.0,13600.0,12300.0,15000,2008,9,29,1,14151
11800.0,12000.0,12000.0,11800.0,7800,2008,9,30,2,14152
11100.0,12000.0,11100.0,11600.0,11700,2008,10,1,3,14153
11000.0,12400.0,11500.0,12400.0,14200,2008,10,2,4,14154
12200.0,13000.0,13000.0,13000.0,36700,2008,10,3,5,14155
12000.0,13800.0,13500.0,13000.0,9600,2008,10,6,1,14158
11600.0,11600.0,11600.0,11600.0,8300,2008,10,7,2,14159
10800.0,11500.0,10900.0,10800.0,39100,2008,10,8,3,14160
10200.0,11500.0,10200.0,10900.0,34500,2008,10,9,4,14161
9800.0,10300.0,10300.0,10200.0,15400,2008,10,10,5,14162
9300.0,10000.0,10000.0,10000.0,20600,2008,10,13,1,14165
10000.0,10000.0,10000.0,10000.0,400,2008,10,14,2,14166
10100.0,10700.0,10700.0,10500.0,26700,2008,10,15,3,14167
9900.0,10500.0,10500.0,10000.0,11100,2008,10,16,4,14168
10100.0,10500.0,10500.0,10100.0,8200,2008,10,17,5,14169
9600.0,10200.0,10200.0,10000.0,1900,2008,10,20,1,14172
9700.0,10000.0,9800.0,9700.0,3900,2008,10,21,2,14173
9400.0,9700.0,9500.0,9400.0,7700,2008,10,22,3,14174
8900.0,9600.0,9600.0,8900.0,12500,2008,10,23,4,14175
9000.0,9200.0,9000.0,9200.0,3100,2008,10,24,5,14176
8400.0,8600.0,8400.0,8400.0,4200,2008,10,27,1,14179
7900.0,8200.0,7900.0,8200.0,4600,2008,10,28,2,14180
8300.0,8400.0,8400.0,8300.0,8700,2008,10,29,3,14181
7900.0,8200.0,7900.0,7900.0,10800,2008,10,30,4,14182
7500.0,8000.0,7700.0,7800.0,10300,2008,10,31,5,14183
7800.0,8000.0,7800.0,8000.0,11600,2008,11,3,1,14186
7900.0,8400.0,8000.0,8400.0,4400,2008,11,4,2,14187
8600.0,8700.0,8600.0,8700.0,8300,2008,11,5,3,14188
8100.0,8700.0,8100.0,8100.0,7700,2008,11,6,4,14189
7700.0,7900.0,7900.0,7700.0,4100,2008,11,7,5,14190
7600.0,7700.0,7700.0,7700.0,5000,2008,11,10,1,14193
7200.0,8200.0,8200.0,7200.0,6500,2008,11,11,2,14194
7800.0,7800.0,7800.0,7800.0,2300,2008,11,12,3,14195
7500.0,7800.0,7500.0,7800.0,3300,2008,11,13,4,14196
7800.0,8200.0,8200.0,8000.0,9100,2008,11,14,5,14197
7600.0,7600.0,7600.0,7600.0,1200,2008,11,17,1,14200
7200.0,8000.0,7200.0,7600.0,2600,2008,11,18,2,14201
7200.0,7800.0,7200.0,7800.0,2200,2008,11,19,3,14202
7200.0,7800.0,7800.0,7300.0,3300,2008,11,20,4,14203
6900.0,7000.0,7000.0,7000.0,1800,2008,11,21,5,14204
7100.0,7300.0,7100.0,7300.0,300,2008,11,24,1,14207
7000.0,7600.0,7600.0,7000.0,3100,2008,11,25,2,14208
7100.0,7600.0,7600.0,7100.0,2900,2008,11,26,3,14209
6800.0,7400.0,7400.0,7200.0,1300,2008,11,27,4,14210
7400.0,7500.0,7400.0,7500.0,4600,2008,11,28,5,14211
7200.0,7200.0,7200.0,7200.0,100,2008,12,1,1,14214
6800.0,6800.0,6800.0,6800.0,5100,2008,12,2,2,14215
6800.0,7000.0,6800.0,6800.0,6600,2008,12,3,3,14216
6600.0,6600.0,6600.0,6600.0,2000,2008,12,4,4,14217
6200.0,6500.0,6200.0,6200.0,400,2008,12,5,5,14218
6100.0,6100.0,6100.0,6100.0,900,2008,12,8,1,14221
5800.0,6000.0,5800.0,5800.0,6600,2008,12,9,2,14222
6000.0,6000.0,6000.0,6000.0,2400,2008,12,10,3,14223
5800.0,5800.0,5800.0,5800.0,6900,2008,12,11,4,14224
6000.0,6000.0,6000.0,6000.0,3300,2008,12,12,5,14225
6300.0,6300.0,6300.0,6300.0,300,2008,12,15,1,14228
5800.0,6000.0,5800.0,5800.0,900,2008,12,16,2,14229
6000.0,6300.0,6000.0,6300.0,1100,2008,12,17,3,14230
5800.0,6200.0,6200.0,5800.0,700,2008,12,18,4,14231
5700.0,6100.0,6100.0,5700.0,700,2008,12,19,5,14232
6200.0,6200.0,6200.0,6200.0,300,2008,12,22,1,14235
6200.0,6200.0,6200.0,6200.0,0,2008,12,23,2,14236
6200.0,6600.0,6600.0,6300.0,700,2008,12,24,3,14237
6300.0,6300.0,6300.0,6300.0,0,2008,12,25,4,14238
6400.0,6500.0,6400.0,6500.0,1100,2008,12,26,5,14239
6000.0,6000.0,6000.0,6000.0,8000,2008,12,29,1,14242
6400.0,6400.0,6400.0,6400.0,10000,2008,12,30,2,14243
6600.0,6800.0,6800.0,6700.0,4100,2008,12,31,3,14244
6700.0,7000.0,7000.0,6700.0,1400,2009,1,2,5,14246
6700.0,7000.0,7000.0,6700.0,1700,2009,1,5,1,14249
6400.0,6800.0,6500.0,6500.0,4100,2009,1,6,2,14250
6500.0,6800.0,6800.0,6500.0,8200,2009,1,7,3,14251
6300.0,6600.0,6300.0,6600.0,3300,2009,1,8,4,14252
6500.0,6600.0,6600.0,6500.0,1500,2009,1,9,5,14253
6200.0,6600.0,6200.0,6200.0,300,2009,1,12,1,14256
6100.0,6500.0,6500.0,6100.0,1300,2009,1,13,2,14257
6300.0,6500.0,6400.0,6300.0,3200,2009,1,14,3,14258
6200.0,6200.0,6200.0,6200.0,1200,2009,1,15,4,14259
5900.0,6200.0,5900.0,6200.0,600,2009,1,16,5,14260
5800.0,6000.0,5800.0,6000.0,2000,2009,1,19,1,14263
6000.0,6200.0,6200.0,6200.0,300,2009,1,20,2,14264
6100.0,6200.0,6100.0,6200.0,2700,2009,1,21,3,14265
6100.0,6200.0,6100.0,6200.0,1200,2009,1,22,4,14266
6200.0,6400.0,6300.0,6400.0,4300,2009,1,23,5,14267
