low,high,open,close,volume,year,month,day,weekday,days
16000.0,18000.0,16900.0,16900.0,305000,2010,4,14,3,14713
16100.0,17000.0,16900.0,16100.0,227640,2010,4,15,4,14714
15500.0,16900.0,15500.0,16100.0,168900,2010,4,16,5,14715
16200.0,16900.0,16500.0,16900.0,364550,2010,4,19,1,14718
17700.0,17700.0,17700.0,17700.0,105410,2010,4,20,2,14719
18500.0,18500.0,18500.0,18500.0,35170,2010,4,21,3,14720
19400.0,19400.0,19400.0,19400.0,192530,2010,4,22,4,14721
20300.0,20300.0,20300.0,20300.0,261600,2010,4,26,1,14725
19300.0,20900.0,20000.0,20500.0,688920,2010,4,27,2,14726
20400.0,21500.0,20500.0,21500.0,273850,2010,4,28,3,14727
22500.0,22500.0,22500.0,22500.0,28750,2010,4,29,4,14728
23600.0,23600.0,23600.0,23600.0,25110,2010,5,4,2,14733
24700.0,24700.0,24700.0,24700.0,444570,2010,5,5,3,14734
25900.0,25900.0,25900.0,25900.0,59230,2010,5,6,4,14735
24700.0,25400.0,24800.0,24700.0,498530,2010,5,7,5,14736
23500.0,23500.0,23500.0,23500.0,113770,2010,5,10,1,14739
22400.0,22600.0,22400.0,22400.0,216110,2010,5,11,2,14740
21300.0,21300.0,21300.0,21300.0,9390,2010,5,12,3,14741
20300.0,21300.0,21300.0,20300.0,2910,2010,5,13,4,14742
19300.0,21000.0,19300.0,21000.0,387590,2010,5,14,5,14743
21000.0,22000.0,22000.0,21700.0,225470,2010,5,17,1,14746
20700.0,21700.0,21700.0,21500.0,85150,2010,5,18,2,14747
20500.0,20800.0,20500.0,20500.0,63250,2010,5,19,3,14748
19500.0,19500.0,19500.0,19500.0,97440,2010,5,20,4,14749
18600.0,18600.0,18600.0,18600.0,2730,2010,5,21,5,14750
17700.0,17900.0,17800.0,17900.0,99720,2010,5,24,1,14753
17300.0,18600.0,17900.0,18600.0,39910,2010,5,25,2,14754
19000.0,19500.0,19200.0,19500.0,77160,2010,5,26,3,14755
19000.0,20000.0,20000.0,19500.0,23940,2010,5,27,4,14756
20000.0,20400.0,20300.0,20400.0,202360,2010,5,28,5,14757
20000.0,20900.0,20900.0,20000.0,14620,2010,5,31,1,14760
19000.0,20400.0,19000.0,20400.0,23590,2010,6,1,2,14761
19500.0,21400.0,20400.0,21400.0,123670,2010,6,2,3,14762
21000.0,22000.0,21400.0,21400.0,76270,2010,6,3,4,14763
21000.0,21600.0,21400.0,21400.0,135830,2010,6,4,5,14764
21400.0,22400.0,21400.0,21500.0,189000,2010,6,7,1,14767
21000.0,21700.0,21000.0,21300.0,35560,2010,6,8,2,14768
21000.0,21900.0,21000.0,21000.0,53100,2010,6,9,3,14769
20800.0,21500.0,21100.0,21500.0,61950,2010,6,10,4,14770
22400.0,22500.0,22500.0,22500.0,314020,2010,6,11,5,14771
23600.0,23600.0,23600.0,23600.0,26560,2010,6,14,1,14774
24500.0,24700.0,24700.0,24700.0,269310,2010,6,15,2,14775
25000.0,25900.0,25500.0,25900.0,117080,2010,6,16,3,14776
24700.0,27000.0,25900.0,25900.0,170300,2010,6,17,4,14777
24700.0,26700.0,25200.0,26000.0,111110,2010,6,18,5,14778
26000.0,27300.0,26000.0,27300.0,152210,2010,6,21,1,14781
27000.0,28600.0,28400.0,27000.0,122540,2010,6,22,2,14782
25800.0,28000.0,25800.0,27000.0,87670,2010,6,23,3,14783
28300.0,28300.0,28300.0,28300.0,240700,2010,6,24,4,14784
28000.0,29700.0,28300.0,28000.0,180580,2010,6,25,5,14785
28500.0,29200.0,29200.0,29000.0,124300,2010,6,28,1,14788
