low,high,open,close,volume,year,month,day,weekday,days
862.0,862.0,862.0,900.0,0,2017,7,18,2,17365
862.0,862.0,862.0,900.0,0,2017,7,19,3,17366
862.0,862.0,862.0,900.0,0,2017,7,20,4,17367
862.0,862.0,862.0,900.0,0,2017,7,21,5,17368
862.0,862.0,862.0,900.0,0,2017,7,24,1,17371
862.0,862.0,862.0,900.0,0,2017,7,25,2,17372
862.0,862.0,862.0,900.0,0,2017,7,26,3,17373
862.0,862.0,862.0,900.0,0,2017,7,27,4,17374
845.0,845.0,845.0,800.0,1000,2017,7,28,5,17375
845.0,845.0,845.0,800.0,0,2017,7,31,1,17378
845.0,845.0,845.0,800.0,0,2017,8,1,2,17379
845.0,845.0,845.0,800.0,0,2017,8,2,3,17380
845.0,845.0,845.0,800.0,0,2017,8,3,4,17381
845.0,845.0,845.0,800.0,0,2017,8,4,5,17382
845.0,845.0,845.0,800.0,0,2017,8,7,1,17385
845.0,845.0,845.0,800.0,0,2017,8,8,2,17386
845.0,845.0,845.0,800.0,0,2017,8,9,3,17387
845.0,845.0,845.0,800.0,0,2017,8,10,4,17388
845.0,845.0,845.0,800.0,0,2017,8,11,5,17389
845.0,845.0,845.0,800.0,800,2017,8,14,1,17392
845.0,845.0,845.0,800.0,0,2017,8,15,2,17393
845.0,845.0,845.0,800.0,2600,2017,8,16,3,17394
845.0,845.0,845.0,800.0,0,2017,8,17,4,17395
845.0,845.0,845.0,800.0,0,2017,8,18,5,17396
845.0,845.0,845.0,800.0,0,2017,8,21,1,17399
845.0,845.0,845.0,800.0,0,2017,8,22,2,17400
845.0,845.0,845.0,800.0,5000,2017,8,23,3,17401
845.0,845.0,845.0,800.0,0,2017,8,24,4,17402
845.0,845.0,845.0,800.0,0,2017,8,25,5,17403
845.0,845.0,845.0,800.0,0,2017,8,28,1,17406
862.0,862.0,862.0,900.0,3300,2017,8,29,2,17407
862.0,862.0,862.0,900.0,0,2017,8,30,3,17408
862.0,862.0,862.0,900.0,0,2017,8,31,4,17409
862.0,862.0,862.0,900.0,0,2017,9,1,5,17410
862.0,862.0,862.0,900.0,0,2017,9,5,2,17414
862.0,862.0,862.0,900.0,0,2017,9,6,3,17415
862.0,862.0,862.0,900.0,0,2017,9,7,4,17416
862.0,862.0,862.0,900.0,0,2017,9,8,5,17417
862.0,862.0,862.0,900.0,0,2017,9,11,1,17420
862.0,862.0,862.0,900.0,0,2017,9,12,2,17421
862.0,862.0,862.0,900.0,0,2017,9,13,3,17422
862.0,862.0,862.0,900.0,0,2017,9,14,4,17423
