low,high,open,close,volume,year,month,day,weekday,days
18300.0,18300.0,18300.0,18300.0,200,2016,7,15,5,16997
21000.0,21000.0,21000.0,21000.0,100,2016,7,18,1,17000
24100.0,24100.0,24100.0,24100.0,559200,2016,7,19,2,17001
26700.0,27700.0,27700.0,27400.0,855754,2016,7,20,3,17002
26500.0,30000.0,30000.0,27400.0,303500,2016,7,21,4,17003
25000.0,27100.0,27000.0,26200.0,535895,2016,7,22,5,17004
26500.0,29600.0,26500.0,27800.0,836400,2016,7,25,1,17007
25000.0,28100.0,28100.0,25600.0,446910,2016,7,26,2,17008
24000.0,26000.0,25000.0,25100.0,470000,2016,7,27,3,17009
24800.0,27900.0,25100.0,26200.0,232045,2016,7,28,4,17010
25800.0,26800.0,26300.0,26200.0,193509,2016,7,29,5,17011
24800.0,26300.0,26200.0,25500.0,318100,2016,8,1,1,17014
22500.0,25000.0,25000.0,23700.0,202100,2016,8,2,2,17015
20200.0,23300.0,23300.0,20600.0,528000,2016,8,3,3,17016
17600.0,19900.0,19000.0,18500.0,278204,2016,8,4,4,17017
18300.0,21200.0,18400.0,19900.0,239500,2016,8,5,5,17018
19000.0,21300.0,21000.0,20400.0,167700,2016,8,8,1,17021
18000.0,21200.0,19500.0,20600.0,156900,2016,8,9,2,17022
20000.0,21900.0,20000.0,21000.0,129700,2016,8,10,3,17023
20200.0,21000.0,21000.0,20600.0,99100,2016,8,11,4,17024
19600.0,20200.0,20100.0,20600.0,85734,2016,8,12,5,17025
19000.0,19700.0,19100.0,19300.0,19900,2016,8,15,1,17028
19000.0,20600.0,19300.0,19900.0,94400,2016,8,16,2,17029
19600.0,21100.0,19900.0,20400.0,52700,2016,8,17,3,17030
19300.0,19900.0,19500.0,19500.0,28534,2016,8,18,4,17031
19400.0,19800.0,19500.0,19500.0,39000,2016,8,19,5,17032
19400.0,20500.0,19400.0,20100.0,107100,2016,8,22,1,17035
19800.0,22600.0,19800.0,20600.0,76000,2016,8,23,2,17036
20700.0,23000.0,22500.0,22100.0,130800,2016,8,24,3,17037
20600.0,22900.0,21500.0,22000.0,17350,2016,8,25,4,17038
21000.0,22000.0,21000.0,21300.0,36900,2016,8,26,5,17039
20000.0,21900.0,21900.0,20300.0,26800,2016,8,29,1,17042
19500.0,20700.0,19600.0,20400.0,79616,2016,8,30,2,17043
19200.0,19800.0,19500.0,19500.0,58500,2016,8,31,3,17044
19000.0,20200.0,20200.0,19800.0,41400,2016,9,1,4,17045
19300.0,20000.0,19300.0,19800.0,12600,2016,9,5,1,17049
19200.0,19800.0,19400.0,19300.0,43100,2016,9,6,2,17050
19100.0,20000.0,19600.0,19500.0,8000,2016,9,7,3,17051
19400.0,19800.0,19500.0,19500.0,23000,2016,9,8,4,17052
19400.0,19600.0,19500.0,19500.0,5244,2016,9,9,5,17053
18900.0,19500.0,19500.0,19100.0,13400,2016,9,12,1,17056
18600.0,19100.0,19000.0,18900.0,43000,2016,9,13,2,17057
18000.0,19400.0,18200.0,18900.0,69100,2016,9,14,3,17058
18000.0,18800.0,18200.0,18300.0,26110,2016,9,15,4,17059
17600.0,18100.0,18100.0,17900.0,28410,2016,9,16,5,17060
17000.0,18000.0,17800.0,17600.0,25700,2016,9,19,1,17063
17000.0,17800.0,17500.0,17500.0,41100,2016,9,20,2,17064
17100.0,17500.0,17300.0,17400.0,13700,2016,9,21,3,17065
17300.0,19000.0,17500.0,18000.0,38300,2016,9,22,4,17066
19000.0,20700.0,19300.0,20000.0,108419,2016,9,23,5,17067
19800.0,20900.0,20500.0,20200.0,73610,2016,9,26,1,17070
19500.0,22900.0,20500.0,21700.0,179820,2016,9,27,2,17071
20000.0,22400.0,20100.0,21600.0,132333,2016,9,28,3,17072
19200.0,21400.0,21000.0,20300.0,66400,2016,9,29,4,17073
18800.0,20000.0,19000.0,19500.0,15310,2016,9,30,5,17074
19200.0,20100.0,20000.0,19800.0,1910,2016,10,3,1,17077
19100.0,19900.0,19900.0,19200.0,5300,2016,10,4,2,17078
18600.0,19700.0,18600.0,19200.0,6600,2016,10,5,3,17079
18700.0,19200.0,18800.0,19000.0,9000,2016,10,6,4,17080
18400.0,18900.0,18500.0,18500.0,10100,2016,10,7,5,17081
18100.0,19800.0,18300.0,19800.0,107300,2016,10,10,1,17084
19300.0,20400.0,19800.0,19800.0,8800,2016,10,11,2,17085
19500.0,21500.0,20000.0,20800.0,136900,2016,10,12,3,17086
19100.0,19500.0,19300.0,19300.0,3400,2016,10,13,4,17087
19300.0,20300.0,20000.0,20300.0,104800,2016,10,14,5,17088
18900.0,19500.0,19000.0,19100.0,7400,2016,10,17,1,17091
19000.0,19700.0,19700.0,19700.0,100600,2016,10,18,2,17092
18600.0,19100.0,18800.0,19000.0,47700,2016,10,19,3,17093
18600.0,19300.0,19300.0,19200.0,17500,2016,10,20,4,17094
18400.0,19900.0,19700.0,19700.0,120200,2016,10,21,5,17095
18000.0,19600.0,18500.0,18500.0,18800,2016,10,24,1,17098
18000.0,19300.0,19200.0,18500.0,20310,2016,10,25,2,17099
15800.0,18900.0,18000.0,17500.0,238223,2016,10,26,3,17100
17300.0,20000.0,17500.0,19000.0,142900,2016,10,27,4,17101
16200.0,18400.0,17500.0,16300.0,183400,2016,10,28,5,17102
17000.0,17500.0,17000.0,17300.0,20100,2016,10,31,1,17105
17000.0,17400.0,17300.0,17400.0,189800,2016,11,1,2,17106
16500.0,17000.0,16700.0,16900.0,54100,2016,11,2,3,17107
15000.0,16300.0,16200.0,15400.0,29725,2016,11,3,4,17108
15100.0,15700.0,15100.0,15300.0,2900,2016,11,4,5,17109
15600.0,16100.0,15600.0,15800.0,5100,2016,11,7,1,17112
15200.0,16200.0,15200.0,15900.0,107844,2016,11,8,2,17113
13600.0,15500.0,15500.0,14900.0,34000,2016,11,9,3,17114
15000.0,15700.0,15000.0,15400.0,61500,2016,11,10,4,17115
15400.0,15800.0,15400.0,15500.0,1700,2016,11,11,5,17116
15200.0,15500.0,15500.0,15500.0,3700,2016,11,14,1,17119
15100.0,15600.0,15200.0,15200.0,5700,2016,11,15,2,17120
14500.0,15700.0,15200.0,15400.0,103200,2016,11,16,3,17121
15500.0,17700.0,15500.0,17000.0,389143,2016,11,17,4,17122
17400.0,18300.0,18000.0,18000.0,80800,2016,11,18,5,17123
17700.0,20400.0,17700.0,19500.0,567500,2016,11,21,1,17126
19300.0,21500.0,19800.0,20200.0,708124,2016,11,22,2,17127
19300.0,20000.0,20000.0,19500.0,123530,2016,11,23,3,17128
18900.0,20500.0,19000.0,20000.0,248700,2016,11,24,4,17129
18800.0,20000.0,20000.0,19300.0,140100,2016,11,25,5,17130
18000.0,19400.0,19000.0,18400.0,135900,2016,11,28,1,17133
17200.0,18700.0,18000.0,17600.0,82037,2016,11,29,2,17134
16500.0,18000.0,18000.0,17100.0,91060,2016,11,30,3,17135
17500.0,19500.0,17500.0,18800.0,133368,2016,12,1,4,17136
18000.0,19400.0,18800.0,18500.0,42800,2016,12,2,5,17137
17500.0,18400.0,18000.0,17900.0,77900,2016,12,5,1,17140
17400.0,18000.0,18000.0,17600.0,101200,2016,12,6,2,17141
17500.0,17800.0,17500.0,17600.0,41500,2016,12,7,3,17142
17200.0,18900.0,17600.0,17800.0,111900,2016,12,8,4,17143
16100.0,17600.0,17500.0,16900.0,140000,2016,12,9,5,17144
16100.0,17200.0,17100.0,16400.0,108700,2016,12,12,1,17147
16300.0,17000.0,16300.0,16500.0,63500,2016,12,13,2,17148
15000.0,16500.0,16300.0,15600.0,123100,2016,12,14,3,17149
16200.0,17600.0,16500.0,16600.0,26710,2016,12,15,4,17150
16000.0,16600.0,16200.0,16200.0,74900,2016,12,16,5,17151
16300.0,17900.0,16300.0,17300.0,244900,2016,12,19,1,17154
17800.0,19000.0,17800.0,18600.0,205400,2016,12,20,2,17155
16500.0,18600.0,18600.0,17100.0,282710,2016,12,21,3,17156
17100.0,18000.0,17100.0,17100.0,519100,2016,12,22,4,17157
17200.0,18600.0,17200.0,18100.0,142800,2016,12,23,5,17158
17700.0,18500.0,18000.0,17900.0,61200,2016,12,26,1,17161
17500.0,19000.0,17800.0,18200.0,215200,2016,12,27,2,17162
18200.0,18800.0,18400.0,18500.0,116300,2016,12,28,3,17163
17900.0,18600.0,17900.0,18500.0,150820,2016,12,29,4,17164
18200.0,18800.0,18500.0,18500.0,137200,2016,12,30,5,17165
18200.0,19400.0,19200.0,19100.0,43750,2017,1,3,2,17169
18000.0,19100.0,18400.0,18900.0,310000,2017,1,4,3,17170
18500.0,19100.0,18600.0,18900.0,41400,2017,1,5,4,17171
19000.0,19600.0,19000.0,19200.0,96800,2017,1,6,5,17172
18600.0,19200.0,18700.0,19100.0,152900,2017,1,9,1,17175
18400.0,19100.0,18600.0,18700.0,89500,2017,1,10,2,17176
18200.0,19400.0,18500.0,19000.0,118500,2017,1,11,3,17177
18700.0,19400.0,18700.0,19100.0,77500,2017,1,12,4,17178
18700.0,19300.0,18800.0,19000.0,77700,2017,1,13,5,17179
18300.0,18900.0,18700.0,18500.0,34200,2017,1,16,1,17182
18100.0,18700.0,18300.0,18300.0,31200,2017,1,17,2,17183
17900.0,18400.0,18100.0,18200.0,19600,2017,1,18,3,17184
18300.0,18700.0,18500.0,18500.0,14500,2017,1,19,4,17185
17500.0,18700.0,18700.0,18100.0,92000,2017,1,20,5,17186
17900.0,18400.0,17900.0,17900.0,5200,2017,1,23,1,17189
18000.0,18200.0,18000.0,18000.0,1200,2017,1,24,2,17190
17600.0,18200.0,17600.0,18100.0,4000,2017,1,25,3,17191
18100.0,18200.0,18100.0,18200.0,400,2017,2,2,4,17199
17600.0,18100.0,18000.0,17900.0,20800,2017,2,3,5,17200
17500.0,18000.0,17600.0,17600.0,19200,2017,2,6,1,17203
17000.0,18900.0,17400.0,18100.0,216100,2017,2,7,2,17204
18100.0,18700.0,18200.0,18300.0,104300,2017,2,8,3,17205
17800.0,18200.0,18000.0,18000.0,34500,2017,2,9,4,17206
17800.0,18100.0,18100.0,17900.0,37900,2017,2,10,5,17207
17800.0,18000.0,17900.0,17900.0,15800,2017,2,13,1,17210
17700.0,17900.0,17800.0,17800.0,9600,2017,2,14,2,17211
17700.0,17800.0,17800.0,17800.0,18300,2017,2,15,3,17212
17800.0,18200.0,17800.0,17900.0,34100,2017,2,16,4,17213
17500.0,17900.0,17800.0,17700.0,40800,2017,2,17,5,17214
17400.0,18300.0,17400.0,18000.0,39300,2017,2,20,1,17217
18100.0,19300.0,18100.0,18900.0,352710,2017,2,21,2,17218
18400.0,18900.0,18900.0,18700.0,136930,2017,2,22,3,17219
18400.0,18700.0,18500.0,18500.0,77300,2017,2,23,4,17220
18100.0,18500.0,18400.0,18400.0,64700,2017,2,24,5,17221
17500.0,18000.0,18000.0,17600.0,148930,2017,2,27,1,17224
17600.0,17700.0,17600.0,17600.0,22933,2017,2,28,2,17225
17500.0,17900.0,17600.0,17600.0,29400,2017,3,1,3,17226
17400.0,17700.0,17500.0,17600.0,20110,2017,3,2,4,17227
17500.0,18000.0,17500.0,17900.0,17700,2017,3,3,5,17228
17300.0,17800.0,17400.0,17600.0,55980,2017,3,6,1,17231
17200.0,17600.0,17600.0,17500.0,53700,2017,3,7,2,17232
17400.0,17500.0,17400.0,17400.0,57110,2017,3,8,3,17233
17300.0,17700.0,17500.0,17400.0,35400,2017,3,9,4,17234
17400.0,17900.0,17400.0,17700.0,2000,2017,3,10,5,17235
17500.0,17900.0,17500.0,17900.0,15200,2017,3,13,1,17238
17600.0,17800.0,17800.0,17700.0,42600,2017,3,14,2,17239
17200.0,17700.0,17500.0,17400.0,43820,2017,3,15,3,17240
17200.0,18000.0,17500.0,17700.0,88400,2017,3,16,4,17241
17500.0,18000.0,18000.0,17600.0,63300,2017,3,17,5,17242
17400.0,17900.0,17400.0,17500.0,35335,2017,3,20,1,17245
17200.0,17600.0,17500.0,17300.0,65800,2017,3,21,2,17246
17000.0,17500.0,17300.0,17200.0,50100,2017,3,22,3,17247
16800.0,17400.0,17200.0,17100.0,53400,2017,3,23,4,17248
17100.0,17300.0,17300.0,17100.0,33000,2017,3,24,5,17249
16200.0,17100.0,16800.0,16700.0,29500,2017,3,27,1,17252
16800.0,17000.0,17000.0,16900.0,13360,2017,3,28,2,17253
16900.0,16900.0,16900.0,16900.0,18810,2017,3,29,3,17254
16800.0,17100.0,17100.0,16900.0,1327,2017,3,30,4,17255
16700.0,17400.0,16800.0,17100.0,26500,2017,3,31,5,17256
16700.0,16800.0,16800.0,16800.0,25200,2017,4,3,1,17259
16400.0,17000.0,16600.0,16600.0,11100,2017,4,4,2,17260
16000.0,17100.0,17000.0,16200.0,19100,2017,4,5,3,17261
16000.0,17000.0,17000.0,16100.0,80700,2017,4,7,5,17263
16100.0,16200.0,16100.0,16100.0,18600,2017,4,10,1,17266
16100.0,16300.0,16200.0,16200.0,48000,2017,4,11,2,17267
16000.0,16300.0,16100.0,16100.0,75865,2017,4,12,3,17268
15800.0,16300.0,16300.0,15900.0,226300,2017,4,13,4,17269
15500.0,16100.0,16100.0,15600.0,58800,2017,4,14,5,17270
15700.0,15900.0,15900.0,15900.0,14500,2017,4,17,1,17273
15400.0,15900.0,15400.0,15800.0,32400,2017,4,18,2,17274
15800.0,16200.0,15900.0,16000.0,13200,2017,4,19,3,17275
15900.0,16400.0,16400.0,16100.0,2300,2017,4,20,4,17276
15800.0,16000.0,16000.0,16000.0,1100,2017,4,21,5,17277
15400.0,15800.0,15600.0,15600.0,1800,2017,4,24,1,17280
15000.0,16000.0,16000.0,15100.0,23300,2017,4,25,2,17281
15300.0,15600.0,15600.0,15500.0,7700,2017,4,26,3,17282
15100.0,15700.0,15400.0,15500.0,14400,2017,4,27,4,17283
15500.0,15700.0,15600.0,15600.0,2500,2017,4,28,5,17284
15300.0,16400.0,16400.0,15500.0,6000,2017,5,3,3,17289
15700.0,16800.0,15700.0,16100.0,46410,2017,5,4,4,17290
16200.0,18000.0,16800.0,16700.0,11007,2017,5,5,5,17291
16000.0,16800.0,16000.0,16600.0,29400,2017,5,8,1,17294
16100.0,18000.0,16100.0,16400.0,18900,2017,5,9,2,17295
16200.0,16400.0,16200.0,16400.0,34300,2017,5,10,3,17296
16400.0,16600.0,16400.0,16400.0,11500,2017,5,11,4,17297
15900.0,16400.0,16000.0,16200.0,24000,2017,5,12,5,17298
16000.0,16300.0,16300.0,16200.0,2300,2017,5,15,1,17301
15700.0,18000.0,15800.0,16100.0,5400,2017,5,16,2,17302
16000.0,16200.0,16100.0,16000.0,8400,2017,5,17,3,17303
16000.0,16000.0,16000.0,16000.0,24450,2017,5,18,4,17304
13600.0,16200.0,16000.0,15900.0,3700,2017,5,19,5,17305
15000.0,15800.0,15800.0,15200.0,63100,2017,5,22,1,17308
15000.0,15500.0,15100.0,15000.0,43340,2017,5,23,2,17309
15000.0,15300.0,15000.0,15100.0,12500,2017,5,24,3,17310
15100.0,15300.0,15200.0,15200.0,12500,2017,5,25,4,17311
15000.0,16000.0,15400.0,15700.0,11310,2017,5,26,5,17312
15000.0,18000.0,15300.0,15100.0,38900,2017,5,29,1,17315
15300.0,15400.0,15400.0,15400.0,200,2017,5,30,2,17316
15100.0,15400.0,15400.0,15100.0,1100,2017,5,31,3,17317
15000.0,15300.0,15300.0,15100.0,2400,2017,6,1,4,17318
14814.0,15110.0,14814.0,15100.0,6800,2017,6,2,5,17319
15000.0,15000.0,15000.0,15000.0,6100,2017,6,5,1,17322
15000.0,15200.0,15000.0,15100.0,3300,2017,6,6,2,17323
14900.0,15000.0,15000.0,15000.0,10700,2017,6,7,3,17324
14800.0,15000.0,15000.0,14900.0,20900,2017,6,8,4,17325
14900.0,15000.0,15000.0,14900.0,4400,2017,6,9,5,17326
14600.0,14900.0,14700.0,14800.0,8300,2017,6,12,1,17329
14800.0,15000.0,15000.0,15000.0,2900,2017,6,13,2,17330
14900.0,15000.0,15000.0,14900.0,3300,2017,6,14,3,17331
14800.0,14900.0,14800.0,14900.0,1100,2017,6,15,4,17332
