low,high,open,close,volume,year,month,day,weekday,days
2909.0,3474.0,2996.0,3239.0,6000,2006,3,13,1,13220
3464.0,3596.0,3596.0,3552.0,12300,2006,3,15,3,13222
3586.0,3715.0,3715.0,3698.0,9800,2006,3,17,5,13224
3835.0,4012.0,3835.0,3915.0,23400,2006,3,20,1,13227
3942.0,4075.0,4075.0,4004.0,11900,2006,3,22,3,13229
3968.0,4173.0,4075.0,4039.0,17000,2006,3,24,5,13231
3929.0,3955.0,3955.0,3946.0,3800,2006,3,27,1,13234
3604.0,3955.0,3955.0,3885.0,18100,2006,3,29,3,13236
3631.0,4039.0,3955.0,3885.0,7600,2006,3,31,5,13238
3476.0,3788.0,3476.0,3663.0,16300,2006,4,3,1,13241
3431.0,3565.0,3476.0,3485.0,14300,2006,4,5,3,13243
3436.0,3596.0,3596.0,3489.0,13700,2006,4,7,5,13245
3432.0,3476.0,3476.0,3449.0,1500,2006,4,10,1,13248
3431.0,3476.0,3476.0,3467.0,7800,2006,4,12,3,13250
3356.0,3408.0,3356.0,3382.0,6000,2006,4,14,5,13252
3476.0,3797.0,3476.0,3511.0,11800,2006,4,17,1,13255
5178.0,5275.0,5178.0,5263.0,15900,2006,4,19,3,13257
3939.0,4195.0,4195.0,4089.0,21300,2006,4,21,5,13259
4213.0,4479.0,4435.0,4355.0,14400,2006,4,24,1,13262
4379.0,4730.0,4554.0,4519.0,19500,2006,4,26,3,13264
4075.0,4951.0,4075.0,4618.0,14400,2006,4,28,5,13266
4424.0,4554.0,4554.0,4511.0,6600,2006,5,3,3,13271
4331.0,4504.0,4435.0,4417.0,6300,2006,5,5,5,13273
4075.0,4162.0,4075.0,4110.0,12100,2006,5,8,1,13276
3783.0,4075.0,4075.0,3889.0,4000,2006,5,10,3,13278
3955.0,4236.0,3955.0,4061.0,13100,2006,5,12,5,13280
4390.0,4479.0,4435.0,4426.0,9100,2006,5,15,1,13283
4080.0,4435.0,4435.0,4275.0,5100,2006,5,17,3,13285
3919.0,4075.0,4075.0,3980.0,1500,2006,5,19,5,13287
3765.0,4075.0,4075.0,3862.0,2600,2006,5,22,1,13290
3823.0,3955.0,3955.0,3832.0,1800,2006,5,24,3,13292
3541.0,3759.0,3715.0,3628.0,4600,2006,5,26,5,13294
3507.0,3596.0,3596.0,3525.0,3300,2006,5,29,1,13297
3336.0,3596.0,3596.0,3500.0,3900,2006,5,31,3,13299
3596.0,3639.0,3596.0,3622.0,3500,2006,6,1,4,13300
4914.0,4914.0,3596.0,4914.0,3000,2006,6,2,5,13301
4890.0,4914.0,3596.0,4902.0,1500,2006,6,5,1,13304
4854.0,4914.0,3596.0,4914.0,4100,2006,6,6,2,13305
4890.0,4914.0,3596.0,4902.0,2000,2006,6,7,3,13306
4902.0,4902.0,3596.0,4902.0,1100,2006,6,8,4,13307
4914.0,4914.0,3596.0,4914.0,600,2006,6,9,5,13308
4914.0,4914.0,3596.0,4914.0,0,2006,6,12,1,13311
4854.0,4854.0,3596.0,4854.0,1500,2006,6,13,2,13312
4423.0,4423.0,3236.0,4423.0,1800,2006,6,14,3,13313
4794.0,4794.0,3476.0,4794.0,1000,2006,6,15,4,13314
4794.0,4794.0,3476.0,4794.0,100,2006,6,16,5,13315
4794.0,4794.0,3476.0,4794.0,0,2006,6,19,1,13318
4554.0,4554.0,3356.0,4554.0,600,2006,6,20,2,13319
4554.0,4554.0,3356.0,4554.0,0,2006,6,21,3,13320
4794.0,4794.0,3476.0,4794.0,200,2006,6,22,4,13321
4794.0,4794.0,3476.0,4794.0,0,2006,6,23,5,13322
4794.0,4794.0,3476.0,4794.0,200,2006,6,26,1,13325
4674.0,4674.0,3476.0,4674.0,2000,2006,6,27,2,13326
4674.0,4674.0,3476.0,4674.0,0,2006,6,28,3,13327
4674.0,4674.0,3476.0,4674.0,0,2006,6,29,4,13328
4495.0,5046.0,3116.0,4674.0,300,2006,6,30,5,13329
