low,high,open,close,volume,year,month,day,weekday,days
8729.0,10397.0,8729.0,10192.0,23900,2009,8,14,5,14470
10269.0,10526.0,10269.0,10423.0,2000,2009,8,17,1,14473
9704.0,9756.0,9756.0,9730.0,1200,2009,8,18,2,14474
9062.0,9730.0,9062.0,9140.0,9500,2009,8,19,3,14475
8523.0,9499.0,9499.0,8575.0,14100,2009,8,20,4,14476
8575.0,9062.0,8575.0,8960.0,2800,2009,8,21,5,14477
8857.0,8857.0,8857.0,8857.0,3000,2009,8,24,1,14480
8729.0,8857.0,8831.0,8754.0,5100,2009,8,25,2,14481
8729.0,8857.0,8729.0,8729.0,3600,2009,8,26,3,14482
8600.0,8729.0,8729.0,8677.0,4700,2009,8,27,4,14483
8520.0,8835.0,8652.0,8677.0,23600,2009,8,28,5,14484
8729.0,9088.0,9062.0,9011.0,4000,2009,8,31,1,14487
8829.0,9089.0,8985.0,9011.0,1400,2009,9,1,2,14488
8600.0,8677.0,8626.0,8626.0,3000,2009,9,3,4,14490
8600.0,8652.0,8626.0,8626.0,5800,2009,9,4,5,14491
8600.0,8600.0,8600.0,8600.0,300,2009,9,7,1,14494
8241.0,8267.0,8241.0,8267.0,3900,2009,9,8,2,14495
8472.0,8600.0,8472.0,8498.0,2000,2009,9,9,3,14496
8523.0,9088.0,8523.0,8985.0,21100,2009,9,10,4,14497
9396.0,9499.0,9499.0,9448.0,40800,2009,9,11,5,14498
9114.0,9550.0,9448.0,9319.0,4000,2009,9,14,1,14501
8883.0,9499.0,9499.0,8960.0,3100,2009,9,15,2,14502
8498.0,9294.0,9294.0,8600.0,8300,2009,9,16,3,14503
8087.0,8626.0,8626.0,8267.0,27900,2009,9,17,4,14504
8472.0,8831.0,8472.0,8703.0,8500,2009,9,18,5,14505
8729.0,8754.0,8754.0,8729.0,500,2009,9,21,1,14508
8138.0,8883.0,8883.0,8395.0,6500,2009,9,22,2,14509
8241.0,8446.0,8241.0,8267.0,9800,2009,9,23,3,14510
8215.0,8267.0,8267.0,8241.0,4000,2009,9,24,4,14511
8087.0,8215.0,8087.0,8190.0,2700,2009,9,25,5,14512
7959.0,8215.0,8190.0,8087.0,8600,2009,9,28,1,14515
8164.0,8344.0,8215.0,8267.0,2600,2009,9,29,2,14516
8113.0,8344.0,8215.0,8241.0,5600,2009,9,30,3,14517
7830.0,8241.0,8241.0,7959.0,2200,2009,10,1,4,14518
7419.0,8061.0,7702.0,7625.0,3200,2009,10,2,5,14519
7471.0,7959.0,7702.0,7650.0,3000,2009,10,5,1,14522
7496.0,7650.0,7573.0,7573.0,3000,2009,10,6,2,14523
7676.0,7805.0,7702.0,7702.0,3100,2009,10,7,3,14524
7856.0,7959.0,7959.0,7933.0,7400,2009,10,8,4,14525
7496.0,8010.0,8010.0,7702.0,3200,2009,10,9,5,14526
7830.0,8241.0,7830.0,8113.0,28900,2009,10,12,1,14529
8087.0,8344.0,8087.0,8241.0,20000,2009,10,13,2,14530
7933.0,8241.0,8241.0,8164.0,4600,2009,10,14,3,14531
7984.0,8344.0,8318.0,8164.0,8700,2009,10,15,4,14532
8292.0,8729.0,8344.0,8523.0,22100,2009,10,16,5,14533
8344.0,8472.0,8344.0,8421.0,11600,2009,10,19,1,14536
8344.0,8600.0,8472.0,8472.0,25800,2009,10,20,2,14537
8472.0,8703.0,8472.0,8575.0,11100,2009,10,21,3,14538
8472.0,8729.0,8472.0,8575.0,12000,2009,10,22,4,14539
8600.0,9140.0,8857.0,9011.0,20500,2009,10,23,5,14540
8395.0,8472.0,8472.0,8421.0,7700,2009,10,26,1,14543
7856.0,8729.0,7959.0,8036.0,18900,2009,10,27,2,14544
8215.0,8575.0,8523.0,8446.0,17200,2009,10,28,3,14545
7856.0,8215.0,8215.0,7984.0,12000,2009,10,29,4,14546
7959.0,8498.0,8498.0,8113.0,1600,2009,10,30,5,14547
7548.0,7676.0,7676.0,7548.0,2100,2009,11,2,1,14550
7060.0,7496.0,7496.0,7137.0,3400,2009,11,3,2,14551
6675.0,6983.0,6983.0,6829.0,9600,2009,11,4,3,14552
7163.0,7291.0,7163.0,7240.0,8300,2009,11,5,4,14553
6932.0,7702.0,7676.0,7342.0,7000,2009,11,6,5,14554
6829.0,6855.0,6855.0,6829.0,10600,2009,11,9,1,14557
6547.0,6675.0,6547.0,6598.0,4300,2009,11,10,2,14558
6598.0,6726.0,6598.0,6675.0,2500,2009,11,11,3,14559
6803.0,7137.0,6803.0,7111.0,6100,2009,11,12,4,14560
