low,high,open,close,volume,year,month,day,weekday,days
7554.0,8928.0,8928.0,8928.0,58299310,2017,8,17,4,17395
8516.0,8813.0,8699.0,8516.0,1092840,2017,8,18,5,17396
8127.0,8424.0,8195.0,8207.0,798670,2017,8,21,1,17399
7966.0,8241.0,7966.0,8241.0,2295930,2017,8,22,2,17400
8184.0,8424.0,8241.0,8287.0,520790,2017,8,23,3,17401
8195.0,8321.0,8321.0,8298.0,678690,2017,8,24,4,17402
8195.0,8310.0,8218.0,8310.0,615370,2017,8,25,5,17403
8218.0,8310.0,8241.0,8310.0,761670,2017,8,28,1,17406
8230.0,8310.0,8264.0,8310.0,990000,2017,8,29,2,17407
8241.0,8310.0,8310.0,8310.0,830100,2017,8,30,3,17408
8264.0,8310.0,8264.0,8310.0,1196380,2017,8,31,4,17409
8264.0,8310.0,8264.0,8310.0,978060,2017,9,1,5,17410
8253.0,8333.0,8253.0,8333.0,1274130,2017,9,5,2,17414
8310.0,8745.0,8333.0,8733.0,1269010,2017,9,6,3,17415
8745.0,8997.0,8745.0,8825.0,900290,2017,9,7,4,17416
8733.0,8813.0,8813.0,8745.0,339640,2017,9,8,5,17417
8447.0,8722.0,8699.0,8470.0,655570,2017,9,11,1,17420
8333.0,8584.0,8470.0,8550.0,330150,2017,9,12,2,17421
8493.0,8607.0,8550.0,8584.0,312470,2017,9,13,3,17422
8539.0,8607.0,8584.0,8573.0,268880,2017,9,14,4,17423
8550.0,8607.0,8573.0,8562.0,352480,2017,9,15,5,17424
8527.0,8584.0,8562.0,8539.0,323580,2017,9,18,1,17427
8447.0,8539.0,8539.0,8459.0,820020,2017,9,19,2,17428
8436.0,8539.0,8459.0,8447.0,789670,2017,9,20,3,17429
8413.0,8459.0,8447.0,8447.0,535570,2017,9,21,4,17430
8356.0,8447.0,8447.0,8401.0,1288830,2017,9,22,5,17431
8390.0,8436.0,8401.0,8390.0,504360,2017,9,25,1,17434
8378.0,8447.0,8447.0,8378.0,718370,2017,9,26,2,17435
8378.0,8573.0,8378.0,8527.0,1473820,2017,9,27,3,17436
8516.0,8653.0,8539.0,8527.0,1238590,2017,9,28,4,17437
8527.0,8642.0,8527.0,8584.0,752340,2017,9,29,5,17438
8470.0,8607.0,8584.0,8527.0,634350,2017,10,2,1,17441
8413.0,8539.0,8516.0,8447.0,659660,2017,10,3,2,17442
8413.0,8470.0,8447.0,8447.0,457470,2017,10,4,3,17443
8436.0,8504.0,8493.0,8436.0,219990,2017,10,5,4,17444
8424.0,8516.0,8481.0,8516.0,409110,2017,10,6,5,17445
8527.0,8607.0,8607.0,8573.0,936770,2017,10,9,1,17448
8550.0,8745.0,8573.0,8699.0,869010,2017,10,10,2,17449
8733.0,9042.0,8745.0,9042.0,3495690,2017,10,11,3,17450
8997.0,9340.0,9054.0,9168.0,2362040,2017,10,12,4,17451
9134.0,9397.0,9134.0,9203.0,1322500,2017,10,13,5,17452
9203.0,9431.0,9203.0,9317.0,2217910,2017,10,16,1,17455
9317.0,9500.0,9317.0,9431.0,1689100,2017,10,17,2,17456
9454.0,9637.0,9615.0,9454.0,2362080,2017,10,18,3,17457
9340.0,9546.0,9431.0,9409.0,1057180,2017,10,19,4,17458
9409.0,9523.0,9409.0,9454.0,1480860,2017,10,20,5,17459
9317.0,9592.0,9454.0,9340.0,1498490,2017,10,23,1,17462
9260.0,9374.0,9374.0,9317.0,826280,2017,10,24,2,17463
9225.0,9420.0,9317.0,9386.0,1275530,2017,10,25,3,17464
9271.0,9454.0,9386.0,9317.0,757830,2017,10,26,4,17465
9283.0,9386.0,9294.0,9351.0,738890,2017,10,27,5,17466
9351.0,9569.0,9351.0,9409.0,1960480,2017,10,30,1,17469
9294.0,9454.0,9409.0,9306.0,1027260,2017,10,31,2,17470
9191.0,9363.0,9294.0,9225.0,994020,2017,11,1,3,17471
8607.0,9294.0,9203.0,8630.0,2450520,2017,11,2,4,17472
8653.0,9203.0,8653.0,9203.0,1257280,2017,11,3,5,17473
9042.0,9203.0,9203.0,9134.0,490420,2017,11,6,1,17476
9019.0,9111.0,9111.0,9042.0,579800,2017,11,7,2,17477
8962.0,9225.0,9042.0,9203.0,826220,2017,11,8,3,17478
9042.0,9225.0,9225.0,9088.0,537590,2017,11,9,4,17479
9042.0,9088.0,9077.0,9054.0,503430,2017,11,10,5,17480
8836.0,9065.0,9065.0,8859.0,734400,2017,11,13,1,17483
8859.0,9019.0,8859.0,8939.0,777620,2017,11,14,2,17484
8882.0,9031.0,8985.0,8997.0,775820,2017,11,15,3,17485
8939.0,9248.0,8997.0,9042.0,916660,2017,11,16,4,17486
9031.0,9157.0,9111.0,9042.0,561660,2017,11,17,5,17487
8939.0,9065.0,9065.0,8951.0,629260,2017,11,20,1,17490
8871.0,9008.0,8928.0,8916.0,1003180,2017,11,21,2,17491
8905.0,9203.0,8928.0,9065.0,1542070,2017,11,22,3,17492
8951.0,9363.0,9157.0,9157.0,1865520,2017,11,23,4,17493
9088.0,9294.0,9214.0,9157.0,939760,2017,11,24,5,17494
9100.0,9157.0,9157.0,9111.0,865430,2017,11,27,1,17497
9088.0,9237.0,9111.0,9111.0,1532570,2017,11,28,2,17498
9111.0,9260.0,9111.0,9180.0,1922690,2017,11,29,3,17499
9225.0,9443.0,9248.0,9420.0,4526350,2017,11,30,4,17500
9409.0,9523.0,9523.0,9420.0,3263090,2017,12,1,5,17501
9431.0,9683.0,9431.0,9500.0,2860030,2017,12,4,1,17504
9317.0,9603.0,9546.0,9397.0,3035500,2017,12,5,2,17505
9180.0,9409.0,9397.0,9271.0,1964010,2017,12,6,3,17506
9065.0,9294.0,9271.0,9065.0,1743680,2017,12,7,4,17507
9019.0,9157.0,9065.0,9042.0,1251580,2017,12,8,5,17508
8825.0,9031.0,8928.0,8825.0,1320400,2017,12,11,1,17511
8241.0,9042.0,8882.0,8859.0,2982180,2017,12,12,2,17512
8676.0,8871.0,8859.0,8676.0,1148350,2017,12,13,3,17513
8699.0,8836.0,8699.0,8790.0,714430,2017,12,14,4,17514
8745.0,8893.0,8790.0,8745.0,738630,2017,12,15,5,17515
8790.0,8997.0,8813.0,8928.0,1219150,2017,12,18,1,17518
8813.0,9031.0,9031.0,8974.0,1250790,2017,12,19,2,17519
8974.0,9271.0,8974.0,9237.0,1292990,2017,12,20,3,17520
9237.0,9363.0,9248.0,9260.0,1587340,2017,12,21,4,17521
9122.0,9248.0,9225.0,9248.0,863870,2017,12,22,5,17522
9111.0,9248.0,9248.0,9134.0,885840,2017,12,25,1,17525
9088.0,9180.0,9157.0,9111.0,702040,2017,12,26,2,17526
9134.0,9225.0,9157.0,9134.0,1096400,2017,12,27,3,17527
9203.0,9340.0,9203.0,9271.0,1336360,2017,12,28,4,17528
9294.0,9454.0,9340.0,9386.0,2133440,2017,12,29,5,17529
9397.0,10038.0,9397.0,9912.0,6973030,2018,1,2,2,17533
9889.0,10164.0,10050.0,9924.0,2393590,2018,1,3,3,17534
9924.0,10301.0,9935.0,10278.0,3127720,2018,1,4,4,17535
9958.0,10278.0,10278.0,10164.0,2611280,2018,1,5,5,17536
10072.0,10645.0,10164.0,10633.0,2758530,2018,1,8,1,17539
10301.0,10977.0,10759.0,10965.0,4813410,2018,1,9,2,17540
10851.0,11114.0,11000.0,10988.0,4193390,2018,1,10,3,17541
10816.0,11160.0,10839.0,11160.0,2838750,2018,1,11,4,17542
10713.0,11217.0,11217.0,10782.0,6034390,2018,1,12,5,17543
10736.0,11080.0,10805.0,10988.0,2849090,2018,1,15,1,17546
10668.0,10977.0,10942.0,10874.0,4223700,2018,1,16,2,17547
10725.0,11057.0,10908.0,10759.0,2524920,2018,1,17,3,17548
10645.0,10988.0,10713.0,10988.0,3113930,2018,1,18,4,17549
10988.0,11469.0,10988.0,11034.0,8250800,2018,1,19,5,17550
11034.0,11354.0,11034.0,11274.0,3111950,2018,1,22,1,17553
11274.0,11274.0,11274.0,11274.0,0,2018,1,23,2,17554
11274.0,11274.0,11274.0,11274.0,0,2018,1,24,3,17555
11354.0,12041.0,11446.0,11995.0,11483030,2018,1,25,4,17556
11858.0,12224.0,12018.0,11904.0,5418010,2018,1,26,5,17557
