low,high,open,close,volume,year,month,day,weekday,days
10900.0,11200.0,11200.0,11000.0,5900,2018,4,23,1,17644
10200.0,10600.0,10600.0,10400.0,1100,2018,4,24,2,17645
10200.0,10200.0,10200.0,10200.0,300,2018,4,26,4,17647
10300.0,10300.0,10300.0,10300.0,3004,2018,4,27,5,17648
10300.0,10300.0,10300.0,10300.0,500,2018,5,2,3,17653
10900.0,11000.0,11000.0,11000.0,1100,2018,5,3,4,17654
10300.0,10300.0,10300.0,10300.0,621,2018,5,4,5,17655
10300.0,10300.0,10300.0,10300.0,0,2018,5,7,1,17658
10300.0,10300.0,10300.0,10300.0,0,2018,5,8,2,17659
10300.0,10300.0,10300.0,10300.0,0,2018,5,9,3,17660
10300.0,10300.0,10300.0,10300.0,0,2018,5,10,4,17661
10300.0,10300.0,10300.0,10300.0,10,2018,5,11,5,17662
10500.0,10500.0,10500.0,10500.0,100,2018,5,14,1,17665
10500.0,10500.0,10500.0,10500.0,0,2018,5,15,2,17666
10400.0,10400.0,10400.0,10400.0,200,2018,5,16,3,17667
10400.0,10400.0,10400.0,10400.0,400,2018,5,17,4,17668
10400.0,10400.0,10400.0,10400.0,500,2018,5,18,5,17669
10400.0,10400.0,10400.0,10400.0,200,2018,5,21,1,17672
10300.0,10300.0,10300.0,10300.0,200,2018,5,22,2,17673
10300.0,10300.0,10300.0,10300.0,0,2018,5,23,3,17674
10300.0,10300.0,10300.0,10300.0,0,2018,5,24,4,17675
10300.0,10300.0,10300.0,10300.0,200,2018,5,25,5,17676
10300.0,10300.0,10300.0,10300.0,0,2018,5,28,1,17679
10300.0,10300.0,10300.0,10300.0,0,2018,5,29,2,17680
10300.0,10300.0,10300.0,10300.0,0,2018,5,30,3,17681
10300.0,10300.0,10300.0,10300.0,0,2018,5,31,4,17682
10300.0,10300.0,10300.0,10300.0,0,2018,6,1,5,17683
10300.0,10300.0,10300.0,10300.0,0,2018,6,4,1,17686
10300.0,10300.0,10300.0,10300.0,0,2018,6,5,2,17687
10300.0,10300.0,10300.0,10300.0,0,2018,6,6,3,17688
10300.0,10300.0,10300.0,10300.0,0,2018,6,7,4,17689
10100.0,10300.0,10300.0,10200.0,200,2018,6,8,5,17690
10200.0,10200.0,10200.0,10200.0,0,2018,6,11,1,17693
10200.0,10200.0,10200.0,10200.0,0,2018,6,12,2,17694
10200.0,10200.0,10200.0,10200.0,0,2018,6,13,3,17695
10200.0,10200.0,10200.0,10200.0,0,2018,6,14,4,17696
10200.0,10200.0,10200.0,10200.0,0,2018,6,15,5,17697
10200.0,10200.0,10200.0,10200.0,0,2018,6,18,1,17700
10200.0,10200.0,10200.0,10200.0,0,2018,6,19,2,17701
10200.0,10200.0,10200.0,10200.0,0,2018,6,20,3,17702
10200.0,10200.0,10200.0,10200.0,0,2018,6,21,4,17703
10200.0,10200.0,10200.0,10200.0,0,2018,6,22,5,17704
10200.0,10200.0,10200.0,10200.0,0,2018,6,25,1,17707
10200.0,10200.0,10200.0,10200.0,0,2018,6,26,2,17708
10200.0,10200.0,10200.0,10200.0,0,2018,6,27,3,17709
10200.0,10200.0,10200.0,10200.0,0,2018,6,28,4,17710
11500.0,11700.0,11500.0,11500.0,10000,2018,6,29,5,17711
10500.0,10500.0,10500.0,10500.0,200,2018,7,2,1,17714
10500.0,10500.0,10500.0,10500.0,0,2018,7,3,2,17715
10500.0,10500.0,10500.0,10500.0,0,2018,7,4,3,17716
10500.0,10500.0,10500.0,10500.0,0,2018,7,5,4,17717
10500.0,10500.0,10500.0,10500.0,0,2018,7,6,5,17718
10500.0,10500.0,10500.0,10500.0,0,2018,7,9,1,17721
10500.0,10500.0,10500.0,10500.0,0,2018,7,10,2,17722
10500.0,10500.0,10500.0,10500.0,0,2018,7,11,3,17723
10500.0,10500.0,10500.0,10500.0,0,2018,7,12,4,17724
10500.0,10500.0,10500.0,10500.0,0,2018,7,13,5,17725
10500.0,10500.0,10500.0,10500.0,0,2018,7,16,1,17728
10500.0,10500.0,10500.0,10500.0,0,2018,7,17,2,17729
10500.0,10500.0,10500.0,10500.0,0,2018,7,18,3,17730
10500.0,10500.0,10500.0,10500.0,0,2018,7,19,4,17731
10500.0,10500.0,10500.0,10500.0,0,2018,7,20,5,17732
9300.0,9300.0,9300.0,10500.0,100,2018,7,23,1,17735
8000.0,8200.0,8000.0,8100.0,800,2018,7,24,2,17736
6900.0,6900.0,6900.0,6900.0,100,2018,7,25,3,17737
6900.0,6900.0,6900.0,6900.0,0,2018,7,26,4,17738
6900.0,6900.0,6900.0,6900.0,0,2018,7,27,5,17739
6000.0,6100.0,6100.0,6100.0,400,2018,7,30,1,17742
6100.0,6100.0,6100.0,6100.0,0,2018,7,31,2,17743
6100.0,6100.0,6100.0,6100.0,0,2018,8,1,3,17744
6200.0,6200.0,6200.0,6200.0,100,2018,8,2,4,17745
6200.0,6200.0,6200.0,6200.0,0,2018,8,3,5,17746
7000.0,7100.0,7000.0,7100.0,400,2018,8,6,1,17749
8100.0,8100.0,8100.0,8100.0,600,2018,8,7,2,17750
8100.0,8100.0,8100.0,8100.0,0,2018,8,8,3,17751
9000.0,9000.0,9000.0,9000.0,300,2018,8,9,4,17752
9000.0,9000.0,9000.0,9000.0,0,2018,8,10,5,17753
9000.0,9000.0,9000.0,9000.0,0,2018,8,13,1,17756
9000.0,9000.0,9000.0,9000.0,0,2018,8,14,2,17757
9000.0,9000.0,9000.0,9000.0,0,2018,8,15,3,17758
9000.0,9000.0,9000.0,9000.0,0,2018,8,16,4,17759
9000.0,9000.0,9000.0,9000.0,0,2018,8,17,5,17760
8000.0,8000.0,8000.0,8000.0,200,2018,8,20,1,17763
8000.0,8000.0,8000.0,8000.0,200,2018,8,21,2,17764
8000.0,8000.0,8000.0,8000.0,0,2018,8,22,3,17765
8000.0,8000.0,8000.0,8000.0,0,2018,8,23,4,17766
8000.0,8000.0,8000.0,8000.0,0,2018,8,24,5,17767
8000.0,8000.0,8000.0,8000.0,0,2018,8,27,1,17770
8000.0,8000.0,8000.0,8000.0,0,2018,8,28,2,17771
8000.0,8000.0,8000.0,8000.0,0,2018,8,29,3,17772
8000.0,8000.0,8000.0,8000.0,200,2018,8,30,4,17773
8000.0,8000.0,8000.0,8000.0,0,2018,8,31,5,17774
8000.0,8000.0,8000.0,8000.0,0,2018,9,4,2,17778
8000.0,8000.0,8000.0,8000.0,300,2018,9,5,3,17779
8000.0,8000.0,8000.0,8000.0,700,2018,9,6,4,17780
8000.0,8000.0,8000.0,8000.0,300,2018,9,7,5,17781
8000.0,8000.0,8000.0,8000.0,100,2018,9,10,1,17784
8000.0,8000.0,8000.0,8000.0,0,2018,9,11,2,17785
8000.0,8000.0,8000.0,8000.0,0,2018,9,12,3,17786
8000.0,8000.0,8000.0,8000.0,200,2018,9,13,4,17787
8000.0,8000.0,8000.0,8000.0,200,2018,9,14,5,17788
8000.0,8000.0,8000.0,8000.0,0,2018,9,17,1,17791
8000.0,8000.0,8000.0,8000.0,200,2018,9,18,2,17792
8000.0,8000.0,8000.0,8000.0,0,2018,9,19,3,17793
8000.0,8000.0,8000.0,8000.0,0,2018,9,20,4,17794
8000.0,8000.0,8000.0,8000.0,500,2018,9,21,5,17795
8000.0,8000.0,8000.0,8000.0,0,2018,9,24,1,17798
8000.0,8000.0,8000.0,8000.0,0,2018,9,25,2,17799
8000.0,8000.0,8000.0,8000.0,0,2018,9,26,3,17800
9200.0,9200.0,9200.0,9200.0,100,2018,9,27,4,17801
9200.0,9200.0,9200.0,9200.0,0,2018,9,28,5,17802
8100.0,8100.0,8100.0,8100.0,500,2018,10,1,1,17805
8100.0,8100.0,8100.0,8100.0,0,2018,10,2,2,17806
8100.0,8100.0,8100.0,8100.0,0,2018,10,3,3,17807
8100.0,8100.0,8100.0,8100.0,0,2018,10,4,4,17808
8100.0,8100.0,8100.0,8100.0,0,2018,10,5,5,17809
8100.0,8100.0,8100.0,8100.0,0,2018,10,8,1,17812
8100.0,8100.0,8100.0,8100.0,0,2018,10,9,2,17813
8100.0,8100.0,8100.0,8100.0,0,2018,10,10,3,17814
8100.0,8100.0,8100.0,8100.0,300,2018,10,11,4,17815
8100.0,8100.0,8100.0,8100.0,0,2018,10,12,5,17816
8100.0,8100.0,8100.0,8100.0,0,2018,10,15,1,17819
8100.0,8100.0,8100.0,8100.0,0,2018,10,16,2,17820
8100.0,8100.0,8100.0,8100.0,0,2018,10,17,3,17821
8100.0,8100.0,8100.0,8100.0,0,2018,10,18,4,17822
8100.0,8100.0,8100.0,8100.0,0,2018,10,19,5,17823
8100.0,8100.0,8100.0,8100.0,0,2018,10,22,1,17826
8100.0,8100.0,8100.0,8100.0,0,2018,10,23,2,17827
8100.0,8100.0,8100.0,8100.0,0,2018,10,24,3,17828
8100.0,8100.0,8100.0,8100.0,0,2018,10,25,4,17829
8100.0,8100.0,8100.0,8100.0,0,2018,10,26,5,17830
8100.0,8100.0,8100.0,8100.0,0,2018,10,29,1,17833
6900.0,7500.0,7500.0,7300.0,1800,2018,10,30,2,17834
7300.0,7300.0,7300.0,7300.0,0,2018,10,31,3,17835
7300.0,7300.0,7300.0,7300.0,0,2018,11,1,4,17836
7300.0,7300.0,7300.0,7300.0,0,2018,11,2,5,17837
7300.0,7300.0,7300.0,7300.0,0,2018,11,5,1,17840
7300.0,7300.0,7300.0,7300.0,0,2018,11,6,2,17841
7300.0,7300.0,7300.0,7300.0,0,2018,11,7,3,17842
7300.0,7300.0,7300.0,7300.0,0,2018,11,8,4,17843
7300.0,7300.0,7300.0,7300.0,0,2018,11,9,5,17844
7300.0,7300.0,7300.0,7300.0,0,2018,11,12,1,17847
6500.0,6500.0,6500.0,6500.0,300,2018,11,13,2,17848
6500.0,6500.0,6500.0,6500.0,0,2018,11,14,3,17849
6500.0,6500.0,6500.0,6500.0,0,2018,11,15,4,17850
6500.0,6500.0,6500.0,6500.0,0,2018,11,16,5,17851
6500.0,6500.0,6500.0,6500.0,0,2018,11,19,1,17854
6500.0,6500.0,6500.0,6500.0,0,2018,11,20,2,17855
6500.0,6500.0,6500.0,6500.0,0,2018,11,21,3,17856
6500.0,6500.0,6500.0,6500.0,0,2018,11,22,4,17857
6500.0,6500.0,6500.0,6500.0,0,2018,11,23,5,17858
6500.0,6500.0,6500.0,6500.0,0,2018,11,26,1,17861
6500.0,6500.0,6500.0,6500.0,0,2018,11,27,2,17862
6500.0,6500.0,6500.0,6500.0,0,2018,11,28,3,17863
6500.0,6500.0,6500.0,6500.0,0,2018,11,29,4,17864
6500.0,6500.0,6500.0,6500.0,0,2018,11,30,5,17865
5900.0,5900.0,5900.0,5900.0,100,2018,12,3,1,17868
5900.0,5900.0,5900.0,5900.0,0,2018,12,4,2,17869
5900.0,5900.0,5900.0,5900.0,0,2018,12,5,3,17870
5900.0,5900.0,5900.0,5900.0,0,2018,12,6,4,17871
5900.0,5900.0,5900.0,5900.0,0,2018,12,7,5,17872
5900.0,5900.0,5900.0,5900.0,0,2018,12,10,1,17875
5900.0,5900.0,5900.0,5900.0,0,2018,12,11,2,17876
5900.0,5900.0,5900.0,5900.0,0,2018,12,12,3,17877
5900.0,5900.0,5900.0,5900.0,0,2018,12,13,4,17878
5900.0,5900.0,5900.0,5900.0,0,2018,12,14,5,17879
5900.0,5900.0,5900.0,5900.0,0,2018,12,17,1,17882
5900.0,5900.0,5900.0,5900.0,0,2018,12,18,2,17883
5900.0,5900.0,5900.0,5900.0,0,2018,12,19,3,17884
5900.0,5900.0,5900.0,5900.0,0,2018,12,20,4,17885
5900.0,5900.0,5900.0,5900.0,0,2018,12,21,5,17886
6700.0,6700.0,6700.0,6700.0,100,2018,12,24,1,17889
7700.0,7700.0,7700.0,7700.0,100,2018,12,25,2,17890
8800.0,8800.0,8800.0,8800.0,100,2018,12,26,3,17891
8800.0,8800.0,8800.0,8800.0,100,2018,12,27,4,17892
8800.0,8800.0,8800.0,8800.0,0,2018,12,28,5,17893
8800.0,8800.0,8800.0,8800.0,0,2019,1,2,3,17898
8800.0,8800.0,8800.0,8800.0,0,2019,1,3,4,17899
8800.0,8800.0,8800.0,8800.0,0,2019,1,4,5,17900
8800.0,8800.0,8800.0,8800.0,0,2019,1,7,1,17903
8800.0,8800.0,8800.0,8800.0,0,2019,1,8,2,17904
8800.0,8800.0,8800.0,8800.0,0,2019,1,9,3,17905
8800.0,8800.0,8800.0,8800.0,0,2019,1,10,4,17906
8800.0,8800.0,8800.0,8800.0,0,2019,1,11,5,17907
8800.0,8800.0,8800.0,8800.0,0,2019,1,14,1,17910
8800.0,8800.0,8800.0,8800.0,0,2019,1,15,2,17911
8800.0,8800.0,8800.0,8800.0,0,2019,1,16,3,17912
8800.0,8800.0,8800.0,8800.0,0,2019,1,17,4,17913
8800.0,8800.0,8800.0,8800.0,0,2019,1,18,5,17914
8800.0,8800.0,8800.0,8800.0,0,2019,1,21,1,17917
8800.0,8800.0,8800.0,8800.0,0,2019,1,22,2,17918
8800.0,8800.0,8800.0,8800.0,0,2019,1,23,3,17919
8800.0,8800.0,8800.0,8800.0,0,2019,1,24,4,17920
8800.0,8800.0,8800.0,8800.0,0,2019,1,25,5,17921
8800.0,8800.0,8800.0,8800.0,0,2019,1,28,1,17924
8800.0,8800.0,8800.0,8800.0,0,2019,1,29,2,17925
8800.0,8800.0,8800.0,8800.0,0,2019,1,30,3,17926
8800.0,8800.0,8800.0,8800.0,0,2019,1,31,4,17927
8800.0,8800.0,8800.0,8800.0,0,2019,2,1,5,17928
8800.0,8800.0,8800.0,8800.0,0,2019,2,11,1,17938
8800.0,8800.0,8800.0,8800.0,0,2019,2,12,2,17939
8800.0,8800.0,8800.0,8800.0,0,2019,2,13,3,17940
8800.0,8800.0,8800.0,8800.0,0,2019,2,14,4,17941
8800.0,8800.0,8800.0,8800.0,0,2019,2,15,5,17942
8800.0,8800.0,8800.0,8800.0,0,2019,2,18,1,17945
8800.0,8800.0,8800.0,8800.0,0,2019,2,19,2,17946
8800.0,8800.0,8800.0,8800.0,0,2019,2,20,3,17947
8800.0,8800.0,8800.0,8800.0,0,2019,2,21,4,17948
8800.0,8800.0,8800.0,8800.0,100,2019,2,22,5,17949
8800.0,8800.0,8800.0,8800.0,0,2019,2,25,1,17952
8800.0,8800.0,8800.0,8800.0,0,2019,2,26,2,17953
8800.0,8800.0,8800.0,8800.0,1000,2019,2,27,3,17954
8000.0,8000.0,8000.0,8000.0,1000,2019,2,28,4,17955
8500.0,9200.0,8500.0,8600.0,800,2019,3,1,5,17956
9500.0,9500.0,9500.0,9500.0,100,2019,3,4,1,17959
9500.0,9500.0,9500.0,9500.0,0,2019,3,5,2,17960
9900.0,10000.0,9900.0,10000.0,500,2019,3,6,3,17961
10000.0,10000.0,10000.0,10000.0,0,2019,3,7,4,17962
10000.0,10000.0,10000.0,10000.0,3000,2019,3,8,5,17963
10000.0,11500.0,10000.0,11100.0,6100,2019,3,11,1,17966
12000.0,12000.0,12000.0,12000.0,2000,2019,3,12,2,17967
12000.0,12000.0,12000.0,12000.0,2000,2019,3,13,3,17968
12000.0,12000.0,12000.0,12000.0,1500,2019,3,14,4,17969
11800.0,12000.0,11800.0,11900.0,2100,2019,3,15,5,17970
11900.0,11900.0,11900.0,11900.0,100,2019,3,18,1,17973
11900.0,11900.0,11900.0,11900.0,100,2019,3,19,2,17974
11800.0,11800.0,11800.0,11800.0,200,2019,3,20,3,17975
11800.0,11800.0,11800.0,11800.0,200,2019,3,21,4,17976
11500.0,11800.0,11500.0,11600.0,1000,2019,3,22,5,17977
11600.0,11600.0,11600.0,11600.0,0,2019,3,25,1,17980
9900.0,9900.0,9900.0,9900.0,200,2019,3,26,2,17981
8600.0,8600.0,8600.0,8600.0,100,2019,3,27,3,17982
8600.0,8600.0,8600.0,8600.0,0,2019,3,28,4,17983
8600.0,8600.0,8600.0,8600.0,0,2019,3,29,5,17984
9800.0,9800.0,9800.0,9800.0,300,2019,4,1,1,17987
11200.0,11200.0,11200.0,11200.0,1400,2019,4,2,2,17988
11200.0,11200.0,11200.0,11200.0,0,2019,4,3,3,17989
11200.0,11200.0,11200.0,11200.0,0,2019,4,4,4,17990
11200.0,11200.0,11200.0,11200.0,0,2019,4,5,5,17991
11200.0,11200.0,11200.0,11200.0,0,2019,4,8,1,17994
11200.0,11200.0,11200.0,11200.0,0,2019,4,9,2,17995
11200.0,11200.0,11200.0,11200.0,0,2019,4,10,3,17996
11200.0,11200.0,11200.0,11200.0,0,2019,4,11,4,17997
11200.0,11200.0,11200.0,11200.0,0,2019,4,12,5,17998
11200.0,11200.0,11200.0,11200.0,0,2019,4,16,2,18002
11200.0,11200.0,11200.0,11200.0,0,2019,4,17,3,18003
11200.0,11200.0,11200.0,11200.0,100,2019,4,18,4,18004
