low,high,open,close,volume,year,month,day,weekday,days
9021.0,9743.0,9743.0,9093.0,5200,2006,9,20,3,13411
9021.0,10104.0,9382.0,9743.0,9300,2006,9,21,4,13412
10825.0,10825.0,10825.0,10717.0,17900,2006,9,22,5,13413
10825.0,11908.0,11908.0,10825.0,5000,2006,9,25,1,13416
10465.0,11186.0,10825.0,11006.0,5900,2006,9,26,2,13417
10465.0,10825.0,10465.0,10392.0,8700,2006,9,27,3,13418
10104.0,10465.0,10465.0,10248.0,9100,2006,9,28,4,13419
9382.0,10104.0,10104.0,9815.0,5900,2006,9,29,5,13420
9743.0,10104.0,10104.0,9923.0,4000,2006,10,2,1,13423
9743.0,9743.0,9743.0,9743.0,2400,2006,10,3,2,13424
9743.0,9743.0,9743.0,9671.0,3400,2006,10,4,3,13425
9021.0,9382.0,9021.0,9274.0,5500,2006,10,5,4,13426
9021.0,9021.0,9021.0,9057.0,4600,2006,10,6,5,13427
9021.0,9382.0,9021.0,9093.0,10800,2006,10,9,1,13430
9021.0,9743.0,9021.0,9274.0,500,2006,10,10,2,13431
9021.0,9382.0,9021.0,9166.0,1300,2006,10,11,3,13432
9021.0,9021.0,9021.0,9057.0,1800,2006,10,12,4,13433
9021.0,9021.0,9021.0,9057.0,0,2006,10,13,5,13434
8660.0,9021.0,9021.0,8841.0,5000,2006,10,16,1,13437
8660.0,9021.0,9021.0,8660.0,2100,2006,10,17,2,13438
8660.0,8660.0,8660.0,8660.0,5200,2006,10,18,3,13439
8660.0,8660.0,8660.0,8660.0,0,2006,10,19,4,13440
8660.0,8660.0,8660.0,8552.0,11500,2006,10,20,5,13441
8299.0,8299.0,8299.0,8299.0,6300,2006,10,23,1,13444
7939.0,8299.0,8299.0,7975.0,1900,2006,10,24,2,13445
7578.0,7939.0,7939.0,7758.0,2800,2006,10,25,3,13446
7578.0,7578.0,7578.0,7578.0,700,2006,10,26,4,13447
7578.0,7578.0,7578.0,7578.0,200,2006,10,27,5,13448
7578.0,7578.0,7578.0,7578.0,2000,2006,10,30,1,13451
7578.0,7578.0,7578.0,7578.0,400,2006,10,31,2,13452
7217.0,7578.0,7578.0,7253.0,2800,2006,11,1,3,13453
7217.0,7217.0,7217.0,7253.0,1000,2006,11,2,4,13454
7217.0,7217.0,7217.0,7253.0,0,2006,11,3,5,13455
7217.0,7217.0,7217.0,7253.0,0,2006,11,6,1,13458
7217.0,7217.0,7217.0,7253.0,8100,2006,11,7,2,13459
7217.0,7217.0,7217.0,7217.0,12000,2006,11,8,3,13460
7217.0,7217.0,7217.0,7217.0,5300,2006,11,9,4,13461
7217.0,7217.0,7217.0,7217.0,3000,2006,11,10,5,13462
7217.0,7217.0,7217.0,7253.0,100,2006,11,13,1,13465
7217.0,7217.0,7217.0,7217.0,900,2006,11,14,2,13466
7217.0,7217.0,7217.0,7217.0,0,2006,11,15,3,13467
7217.0,7217.0,7217.0,7217.0,2000,2006,11,16,4,13468
7217.0,7217.0,7217.0,7217.0,5100,2006,11,17,5,13469
7217.0,7217.0,7217.0,7217.0,1900,2006,11,20,1,13472
7217.0,7217.0,7217.0,7217.0,2200,2006,11,21,2,13473
7217.0,7217.0,7217.0,7109.0,6100,2006,11,22,3,13474
6856.0,7217.0,7217.0,7000.0,6600,2006,11,23,4,13475
7217.0,7217.0,7217.0,7073.0,8500,2006,11,24,5,13476
7217.0,7217.0,7217.0,7073.0,1400,2006,11,27,1,13479
7217.0,7217.0,7217.0,7109.0,1900,2006,11,28,2,13480
7217.0,7217.0,7217.0,7109.0,1200,2006,11,29,3,13481
7217.0,7217.0,7217.0,7073.0,2600,2006,11,30,4,13482
7217.0,7217.0,7217.0,7037.0,1100,2006,12,1,5,13483
7217.0,7217.0,7217.0,7037.0,4100,2006,12,4,1,13486
7217.0,7217.0,7217.0,7217.0,700,2006,12,5,2,13487
7217.0,7217.0,7217.0,7037.0,1900,2006,12,6,3,13488
7217.0,7217.0,7217.0,7037.0,100,2006,12,7,4,13489
7217.0,7217.0,7217.0,7037.0,0,2006,12,8,5,13490
6856.0,7578.0,6856.0,7217.0,200,2006,12,11,1,13493
7217.0,7217.0,7217.0,7037.0,1000,2006,12,12,2,13494
7217.0,7217.0,7217.0,7037.0,0,2006,12,13,3,13495
6856.0,6856.0,6856.0,6856.0,1500,2006,12,14,4,13496
6856.0,6856.0,6856.0,6784.0,500,2006,12,15,5,13497
6856.0,6856.0,6856.0,6784.0,1000,2006,12,18,1,13500
6856.0,6856.0,6856.0,6784.0,0,2006,12,19,2,13501
6856.0,6856.0,6856.0,6784.0,0,2006,12,20,3,13502
6856.0,6856.0,6856.0,6784.0,0,2006,12,21,4,13503
6856.0,7217.0,7217.0,6928.0,800,2006,12,22,5,13504
6856.0,6856.0,6856.0,6712.0,1800,2006,12,25,1,13507
7217.0,7217.0,7217.0,7217.0,3500,2006,12,26,2,13508
6856.0,6856.0,6856.0,6784.0,1900,2006,12,27,3,13509
